id;isin;internal_code;asset_class;name;exchange_code;currency;sector_code;country_iso2;is_active;listed_at;policy_code;attributes_json;symbole_yfinance
513;AT0000A21KS2;EQ:AT:CPIEUROPE;equity;CPI Europe AG;XWBO;EUR;35;AT;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 15.46, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""CPI Europe AG""}, ""stooq_symbol_unverified"": null}";CPI.VI
506;;EQ:AT:IMMOBILIENANLAGE;equity;CA Immobilien Anlagen AG;XWBO;EUR;35;AT;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 23.7, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""CA Immobilien Anlagen AG""}, ""stooq_symbol_unverified"": null}";CAI.VI
353;;EQ:BE:AEDIFICANVSA;equity;Aedifica NV/SA;XBRU;EUR;35;BE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIR/GVV (régime belge équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2006-10-23"", ""last_close"": 68.15, ""n_obs_weekly"": 1035, ""history_years"": 19.8, ""reported_name"": ""Aedifica NV/SA""}, ""stooq_symbol_unverified"": null}";AED.BR
558;;EQ:BE:MONTEACOMM;equity;Montea Comm. VA;XBRU;EUR;35;BE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIR/GVV (régime belge équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2006-10-16"", ""last_close"": 67.7, ""n_obs_weekly"": 1036, ""history_years"": 19.8, ""reported_name"": ""Montea Comm. VA""}, ""stooq_symbol_unverified"": null}";MONT.BR
656;;EQ:BE:RETAILESTATES;equity;Retail Estates N.V.;XBRU;EUR;35;BE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIR/GVV (régime belge équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 66.0, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""Retail Estates N.V.""}, ""stooq_symbol_unverified"": null}";RET.BR
372;;EQ:BE:WAREHOUSESPAUW;equity;Warehouses De Pauw SA;XBRU;EUR;35;BE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIR/GVV (régime belge équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2001-10-08"", ""last_close"": 21.32, ""n_obs_weekly"": 1298, ""history_years"": 24.9, ""reported_name"": ""Warehouses De Pauw SA""}, ""stooq_symbol_unverified"": null}";WDP.BR
611;;EQ:BE:XIORSTUDENTHOUSI;equity;Xior Student Housing NV;XBRU;EUR;35;BE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIR/GVV (régime belge équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_10.7a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2015-12-07"", ""last_close"": 27.2, ""n_obs_weekly"": 559, ""history_years"": 10.7, ""reported_name"": ""Xior Student Housing NV""}, ""stooq_symbol_unverified"": null}";XIOR.BR
590;;EQ:DE:DEUTSCHEEUROSHOP;equity;Deutsche EuroShop AG;XETR;EUR;35;DE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2001-01-01"", ""last_close"": 18.7, ""n_obs_weekly"": 1338, ""history_years"": 25.6, ""reported_name"": ""Deutsche EuroShop AG""}, ""stooq_symbol_unverified"": null}";DEQ.DE
330;;EQ:DE:DEUTSCHEWOHNEN;equity;Deutsche Wohnen SE;XETR;EUR;35;DE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2006-07-03"", ""last_close"": 18.0, ""n_obs_weekly"": 1051, ""history_years"": 20.1, ""reported_name"": ""Deutsche Wohnen SE""}, ""stooq_symbol_unverified"": null}";DWNI.DE
405;;EQ:DE:LEGIMMOBILIEN;equity;LEG IMMOBILIEN;XETR;EUR;35;DE;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_13.1a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2013-07-08"", ""last_close"": 49.96, ""n_obs_weekly"": 685, ""history_years"": 13.1, ""reported_name"": ""LEG Immobilien SE""}, ""stooq_symbol_unverified"": null}";LEG.DE
