internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes
EQ:FR:LVMH,FR0000121014,LVMH Moet Hennessy Louis Vuitton,XPAR,EUR,40,FR,MC.PA,mc.fr,
EQ:FR:OREAL,FR0000120321,L Oreal,XPAR,EUR,45,FR,OR.PA,or.fr,
EQ:FR:TTE,FR0000120271,TotalEnergies,XPAR,EUR,60,FR,TTE.PA,tte.fr,
EQ:FR:SANOFI,FR0000120578,Sanofi,XPAR,EUR,20,FR,SAN.PA,san.fr,
EQ:FR:SCHNEIDER,FR0000121972,Schneider Electric,XPAR,EUR,50,FR,SU.PA,su.fr,
EQ:FR:AIRLIQUIDE,FR0000120073,Air Liquide,XPAR,EUR,55,FR,AI.PA,ai.fr,
EQ:FR:HERMES,FR0000052292,Hermes International,XPAR,EUR,40,FR,RMS.PA,rms.fr,
EQ:FR:ESSILOR,FR0000121667,EssilorLuxottica,XPAR,EUR,20,FR,EL.PA,el.fr,
EQ:FR:SAFRAN,FR0000073272,Safran,XPAR,EUR,50,FR,SAF.PA,saf.fr,
EQ:FR:AIRBUS,NL0000235190,Airbus,XPAR,EUR,50,NL,AIR.PA,air.fr,ISIN neerlandais cotation principale Paris
EQ:FR:BNP,FR0000131104,BNP Paribas,XPAR,EUR,30,FR,BNP.PA,bnp.fr,
EQ:FR:AXA,FR0000120628,AXA,XPAR,EUR,30,FR,CS.PA,cs.fr,
EQ:FR:VINCI,FR0000125486,Vinci,XPAR,EUR,50,FR,DG.PA,dg.fr,
EQ:FR:DANONE,FR0000120644,Danone,XPAR,EUR,45,FR,BN.PA,bn.fr,
EQ:FR:PERNOD,FR0000120693,Pernod Ricard,XPAR,EUR,45,FR,RI.PA,ri.fr,
EQ:FR:SAINTGOBAIN,FR0000125007,Compagnie de Saint-Gobain,XPAR,EUR,50,FR,SGO.PA,sgo.fr,
EQ:FR:MICHELIN,FR001400AJ45,Michelin,XPAR,EUR,40,FR,ML.PA,ml.fr,ISIN change en 2022 lors du passage SCA vers SE
EQ:FR:CAPGEMINI,FR0000125338,Capgemini,XPAR,EUR,10,FR,CAP.PA,cap.fr,
EQ:FR:LEGRAND,FR0010307819,Legrand,XPAR,EUR,50,FR,LR.PA,lr.fr,
EQ:FR:PUBLICIS,FR0000130577,Publicis Groupe,XPAR,EUR,40,FR,PUB.PA,pub.fr,
EQ:FR:KERING,FR0000121485,Kering,XPAR,EUR,40,FR,KER.PA,ker.fr,
EQ:FR:DASSAULTSYS,FR0014003TT8,Dassault Systemes,XPAR,EUR,10,FR,DSY.PA,dsy.fr,ISIN change au split 5 pour 1 de 2021
EQ:FR:THALES,FR0000121329,Thales,XPAR,EUR,50,FR,HO.PA,ho.fr,
EQ:FR:VEOLIA,FR0000124141,Veolia Environnement,XPAR,EUR,65,FR,VIE.PA,vie.fr,
EQ:FR:ENGIE,FR0010208488,Engie,XPAR,EUR,65,FR,ENGI.PA,engi.fr,
EQ:FR:ORANGE,FR0000133308,Orange,XPAR,EUR,15,FR,ORA.PA,ora.fr,
EQ:FR:CARREFOUR,FR0000120172,Carrefour,XPAR,EUR,45,FR,CA.PA,ca.fr,
EQ:FR:SEB,FR0000121709,SEB,XPAR,EUR,40,FR,SK.PA,sk.fr,Cas du podcast ne pas confondre avec SEB banque suedoise
EQ:FR:ARKEMA,FR0010313833,Arkema,XPAR,EUR,55,FR,AKE.PA,ake.fr,Cas cyclique de reference doc 08
EQ:FR:GETLINK,FR0010533075,Getlink,XPAR,EUR,50,FR,GET.PA,get.fr,
EQ:DE:SAP,DE0007164600,SAP,XETR,EUR,10,DE,SAP.DE,sap.de,
EQ:DE:SIEMENS,DE0007236101,Siemens,XETR,EUR,50,DE,SIE.DE,sie.de,
EQ:DE:ALLIANZ,DE0008404005,Allianz,XETR,EUR,30,DE,ALV.DE,alv.de,
EQ:DE:BASF,DE000BASF111,BASF,XETR,EUR,55,DE,BAS.DE,bas.de,
EQ:DE:BMW,DE0005190003,Bayerische Motoren Werke,XETR,EUR,40,DE,BMW.DE,bmw.de,Cas erosion de reference doc 08
EQ:DE:MERCEDES,DE0007100000,Mercedes-Benz Group,XETR,EUR,40,DE,MBG.DE,mbg.de,
EQ:DE:DTELEKOM,DE0005557508,Deutsche Telekom,XETR,EUR,15,DE,DTE.DE,dte.de,
EQ:DE:MUNICHRE,DE0008430026,Muenchener Rueckversicherung,XETR,EUR,30,DE,MUV2.DE,muv2.de,
EQ:DE:ADIDAS,DE000A1EWWW0,adidas,XETR,EUR,40,DE,ADS.DE,ads.de,
EQ:DE:INFINEON,DE0006231004,Infineon Technologies,XETR,EUR,10,DE,IFX.DE,ifx.de,
EQ:NL:ASML,NL0010273215,ASML Holding,XAMS,EUR,10,NL,ASML.AS,asml.nl,
EQ:NL:HEINEKEN,NL0000009165,Heineken,XAMS,EUR,45,NL,HEIA.AS,heia.nl,
EQ:NL:WOLTERS,NL0000395903,Wolters Kluwer,XAMS,EUR,50,NL,WKL.AS,wkl.nl,
EQ:NL:ING,NL0011821202,ING Groep,XAMS,EUR,30,NL,INGA.AS,inga.nl,
