internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes,n_obs,first,last,years,last_close,reported_currency,reported_name,name_ratio,error,status,reasons
EQ:FR:LVMH,FR0000121014,LVMH Moet Hennessy Louis Vuitton,XPAR,EUR,40,FR,MC.PA,mc.fr,,1390,2000-01-03,2026-08-17,26.6,447.75,EUR,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",1.0,,ok,
EQ:FR:OREAL,FR0000120321,L Oreal,XPAR,EUR,45,FR,OR.PA,or.fr,,1390,2000-01-03,2026-08-17,26.6,375.4,EUR,L'Oréal S.A.,1.0,,ok,
EQ:FR:TTE,FR0000120271,TotalEnergies,XPAR,EUR,60,FR,TTE.PA,tte.fr,,1390,2000-01-03,2026-08-17,26.6,76.9,EUR,TotalEnergies SE,1.0,,ok,
EQ:FR:SANOFI,FR0000120578,Sanofi,XPAR,EUR,20,FR,SAN.PA,san.fr,,1390,2000-01-03,2026-08-17,26.6,77.67,EUR,Sanofi,1.0,,ok,
EQ:FR:SCHNEIDER,FR0000121972,Schneider Electric,XPAR,EUR,50,FR,SU.PA,su.fr,,1390,2000-01-03,2026-08-17,26.6,295.1,EUR,Schneider Electric S.E.,1.0,,ok,
EQ:FR:AIRLIQUIDE,FR0000120073,Air Liquide,XPAR,EUR,55,FR,AI.PA,ai.fr,,1390,2000-01-03,2026-08-17,26.6,167.04,EUR,L'Air Liquide S.A.,1.0,,ok,
EQ:FR:HERMES,FR0000052292,Hermes International,XPAR,EUR,40,FR,RMS.PA,rms.fr,,1390,2000-01-03,2026-08-17,26.6,1560.5,EUR,Hermès International Société en commandite par actions,1.0,,ok,
EQ:FR:ESSILOR,FR0000121667,EssilorLuxottica,XPAR,EUR,20,FR,EL.PA,el.fr,,1390,2000-01-03,2026-08-17,26.6,163.9,EUR,EssilorLuxottica Société anonyme,1.0,,ok,
EQ:FR:SAFRAN,FR0000073272,Safran,XPAR,EUR,50,FR,SAF.PA,saf.fr,,1390,2000-01-03,2026-08-17,26.6,353.1,EUR,Safran SA,1.0,,ok,
EQ:FR:AIRBUS,NL0000235190,Airbus,XPAR,EUR,50,NL,AIR.PA,air.fr,ISIN neerlandais cotation principale Paris,1303,2001-09-03,2026-08-17,25.0,209.8,EUR,Airbus SE,1.0,,ok,
EQ:FR:BNP,FR0000131104,BNP Paribas,XPAR,EUR,30,FR,BNP.PA,bnp.fr,,1714,1993-10-18,2026-08-17,32.8,109.4,EUR,BNP Paribas SA,1.0,,ok,
EQ:FR:AXA,FR0000120628,AXA,XPAR,EUR,30,FR,CS.PA,cs.fr,,1879,1990-08-20,2026-08-17,36.0,44.55,EUR,AXA SA,1.0,,ok,
EQ:FR:VINCI,FR0000125486,Vinci,XPAR,EUR,50,FR,DG.PA,dg.fr,,1390,2000-01-03,2026-08-17,26.6,119.4,EUR,Vinci SA,1.0,,ok,
EQ:FR:DANONE,FR0000120644,Danone,XPAR,EUR,45,FR,BN.PA,bn.fr,,1962,1989-01-16,2026-08-17,37.6,65.48,EUR,Danone S.A.,1.0,,ok,
EQ:FR:PERNOD,FR0000120693,Pernod Ricard,XPAR,EUR,45,FR,RI.PA,ri.fr,,1390,2000-01-03,2026-08-17,26.6,68.18,EUR,Pernod Ricard SA,1.0,,ok,
EQ:FR:SAINTGOBAIN,FR0000125007,Compagnie de Saint-Gobain,XPAR,EUR,50,FR,SGO.PA,sgo.fr,,1390,2000-01-03,2026-08-17,26.6,79.74,EUR,Compagnie de Saint-Gobain S.A.,1.0,,ok,
EQ:FR:MICHELIN,FR001400AJ45,Michelin,XPAR,EUR,40,FR,ML.PA,ml.fr,ISIN change en 2022 lors du passage SCA vers SE,1390,2000-01-03,2026-08-17,26.6,34.02,EUR,Compagnie Générale des Établissements Michelin Société en commandite par actions,1.0,,ok,
EQ:FR:CAPGEMINI,FR0000125338,Capgemini,XPAR,EUR,10,FR,CAP.PA,cap.fr,,1390,2000-01-03,2026-08-17,26.6,107.3,EUR,Capgemini SE,1.0,,ok,
EQ:FR:LEGRAND,FR0010307819,Legrand,XPAR,EUR,50,FR,LR.PA,lr.fr,,1064,2006-04-03,2026-08-17,20.4,135.15,EUR,Legrand SA,1.0,,ok,
EQ:FR:PUBLICIS,FR0000130577,Publicis Groupe,XPAR,EUR,40,FR,PUB.PA,pub.fr,,1353,2000-09-18,2026-08-17,25.9,102.0,EUR,Publicis Groupe S.A.,1.0,,ok,
EQ:FR:KERING,FR0000121485,Kering,XPAR,EUR,40,FR,KER.PA,ker.fr,,1390,2000-01-03,2026-08-17,26.6,255.7,EUR,Kering SA,1.0,,ok,
EQ:FR:DASSAULTSYS,FR0014003TT8,Dassault Systemes,XPAR,EUR,10,FR,DSY.PA,dsy.fr,ISIN change au split 5 pour 1 de 2021,1390,2000-01-03,2026-08-17,26.6,21.9,EUR,Dassault Systèmes SE,1.0,,ok,
EQ:FR:THALES,FR0000121329,Thales,XPAR,EUR,50,FR,HO.PA,ho.fr,,1390,2000-01-03,2026-08-17,26.6,266.0,EUR,Thales S.A.,1.0,,ok,
