internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes,n_obs,first,last,years,last_close,reported_currency,reported_name,name_ratio,error,status,reasons
EQ:FR:LVMH,FR0000121014,LVMH Moet Hennessy Louis Vuitton,XPAR,EUR,40,FR,MC.PA,mc.fr,,1390,2000-01-03,2026-08-17,26.6,448.45,EUR,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",1.0,,ok,
EQ:FR:OREAL,FR0000120321,L Oreal,XPAR,EUR,45,FR,OR.PA,or.fr,,1390,2000-01-03,2026-08-17,26.6,380.0,EUR,L'Oréal S.A.,1.0,,ok,
EQ:FR:TTE,FR0000120271,TotalEnergies,XPAR,EUR,60,FR,TTE.PA,tte.fr,,1390,2000-01-03,2026-08-17,26.6,77.87,EUR,TotalEnergies SE,1.0,,ok,
EQ:FR:SANOFI,FR0000120578,Sanofi,XPAR,EUR,20,FR,SAN.PA,san.fr,,1390,2000-01-03,2026-08-17,26.6,77.56,EUR,Sanofi,1.0,,ok,
EQ:FR:SCHNEIDER,FR0000121972,Schneider Electric,XPAR,EUR,50,FR,SU.PA,su.fr,,1390,2000-01-03,2026-08-17,26.6,298.35,EUR,Schneider Electric S.E.,1.0,,ok,
EQ:FR:AIRLIQUIDE,FR0000120073,Air Liquide,XPAR,EUR,55,FR,AI.PA,ai.fr,,1390,2000-01-03,2026-08-17,26.6,166.16,EUR,L'Air Liquide S.A.,1.0,,ok,
EQ:FR:HERMES,FR0000052292,Hermes International,XPAR,EUR,40,FR,RMS.PA,rms.fr,,1390,2000-01-03,2026-08-17,26.6,1566.0,EUR,Hermès International Société en commandite par actions,1.0,,ok,
EQ:FR:ESSILOR,FR0000121667,EssilorLuxottica,XPAR,EUR,20,FR,EL.PA,el.fr,,1390,2000-01-03,2026-08-17,26.6,161.05,EUR,EssilorLuxottica Société anonyme,1.0,,ok,
EQ:FR:SAFRAN,FR0000073272,Safran,XPAR,EUR,50,FR,SAF.PA,saf.fr,,1390,2000-01-03,2026-08-17,26.6,343.7,EUR,Safran SA,1.0,,ok,
EQ:FR:AIRBUS,NL0000235190,Airbus,XPAR,EUR,50,NL,AIR.PA,air.fr,ISIN neerlandais cotation principale Paris,1303,2001-09-03,2026-08-17,25.0,204.25,EUR,Airbus SE,1.0,,ok,
EQ:FR:BNP,FR0000131104,BNP Paribas,XPAR,EUR,30,FR,BNP.PA,bnp.fr,,1714,1993-10-18,2026-08-17,32.8,106.92,EUR,BNP Paribas SA,1.0,,ok,
EQ:FR:AXA,FR0000120628,AXA,XPAR,EUR,30,FR,CS.PA,cs.fr,,1879,1990-08-20,2026-08-17,36.0,43.58,EUR,AXA SA,1.0,,ok,
EQ:FR:VINCI,FR0000125486,Vinci,XPAR,EUR,50,FR,DG.PA,dg.fr,,1390,2000-01-03,2026-08-17,26.6,120.3,EUR,Vinci SA,1.0,,ok,
EQ:FR:DANONE,FR0000120644,Danone,XPAR,EUR,45,FR,BN.PA,bn.fr,,1962,1989-01-16,2026-08-17,37.6,65.9,EUR,Danone S.A.,1.0,,ok,
EQ:FR:PERNOD,FR0000120693,Pernod Ricard,XPAR,EUR,45,FR,RI.PA,ri.fr,,1390,2000-01-03,2026-08-17,26.6,68.52,EUR,Pernod Ricard SA,1.0,,ok,
EQ:FR:SAINTGOBAIN,FR0000125007,Compagnie de Saint-Gobain,XPAR,EUR,50,FR,SGO.PA,sgo.fr,,1390,2000-01-03,2026-08-17,26.6,81.3,EUR,Compagnie de Saint-Gobain S.A.,1.0,,ok,
